rep_id,rep_style_no,hub,category,fiber_key,kc_no,cert_date,expiry_date,memo,updated_at,updated_by
RM0002,MYSOP01,필리핀 본공장,중의류,면|폴리에스터|레이온|폴리우레탄,CB014R2487-6007,2026-01-20,2031-01-19,,2026-01-22 06:32:11,unknown
RM0003,MYSOP02,필리핀 본공장,중의류,면|나일론,CB014R2487-6002,2026-01-20,2031-01-19,,2026-01-22 06:45:17,unknown
RM0004,MYSSE04,필리핀 본공장,중의류,면|레이온|폴리우레탄,CB014R2487-6001,2026-01-15,2031-01-14,,2026-01-22 06:46:48,unknown
RM0005,MYSSE03,필리핀 본공장,중의류,면|폴리우레탄,CB014R2487-6003,2026-01-20,2031-01-19,,2026-01-22 06:48:54,unknown
RM0006,MYSPT02,필리핀 본공장,중의류,면|폴리에스터,CB014R2487-6006,2026-01-20,2031-01-19,,2026-01-22 08:10:30,unknown
